jaar,z_aandeel_bijdragen,z_aandeel_toelagen,z_aandeel_alternatieve,z_aandeel_overige,z_nationale_solidariteit,z_index_nationale_solidariteit,z_toelagen_in_ns,z_alternatieve_in_ns,w_aandeel_bijdragen,w_aandeel_toelagen,w_aandeel_alternatieve,w_aandeel_overige,w_nationale_solidariteit,w_index_nationale_solidariteit,w_toelagen_in_ns,w_alternatieve_in_ns
2010,0.579097184271,0.248716759878,0.156002118636,0.0161839372154,0.404718878513,118.461097561,0.61454202678,0.38545797322,0.644095020445,0.131961099625,0.171204585929,0.0527392940007,0.303165685554,144.721361231,0.435277163323,0.564722836677
2011,0.572698907854,0.227182196178,0.177365244212,0.0227536517569,0.404547440389,118.410917673,0.561571211423,0.438428788577,0.639439231622,0.108990379058,0.196105919396,0.055464469923,0.305096298455,145.642972549,0.357232715082,0.642767284918
2012,0.576998053804,0.270637212292,0.144276099861,0.00808863404335,0.414913312152,121.445005311,0.652274112122,0.347725887878,0.643414149447,0.146349414275,0.167440935087,0.0427955011918,0.313790349361,149.793227481,0.466392336707,0.533607663293
2013,0.574501810033,0.278615688004,0.141289564523,0.0055929374397,0.419905252527,122.906144801,0.663520368766,0.336479631234,0.634930534012,0.159006485292,0.165652984347,0.0404099963485,0.32465946964,154.981789238,0.48976389159,0.51023610841
2014,0.565271337231,0.286225589019,0.143480217811,0.00502285593926,0.429705806829,125.774764183,0.666096628134,0.333903371866,0.628349912181,0.163020067726,0.16408865612,0.0445413639721,0.327108723846,156.150982916,0.498366615873,0.501633384127
2015,0.667108167594,0.220080247346,0.107210726682,0.00560085837769,0.327290974029,95.797972528,0.672429931805,0.327570068195,0.749573810738,0.124723399385,0.0881461487679,0.0375566411084,0.212869548153,101.616944929,0.585914709113,0.414085290887
2016,0.665187810179,0.218454438466,0.107062300972,0.00929545038321,0.325516739437,95.2786545813,0.671100475026,0.328899524974,0.739510115616,0.125289066105,0.0977865946697,0.037414223609,0.223075660775,106.489008562,0.561643819276,0.438356180724
2017,0.633131361033,0.0533716335184,0.306576704853,0.00692030059578,0.359948338372,105.356773535,0.148275815801,0.851724184199,0.704849815596,0.0952722855599,0.165777301253,0.0341005975909,0.261049586813,124.616516158,0.36495857635,0.63504142365
2018,0.622797160181,0.0512529415495,0.319876550846,0.00607334742277,0.371129492396,108.629494053,0.138099888583,0.861900111417,0.709590354274,0.0796116339443,0.176945858994,0.0338521527881,0.256557492938,122.472137782,0.310307187027,0.689692812973
2019,0.620280718955,0.0511500724652,0.321801239136,0.00676796944412,0.372951311601,109.162740002,0.137149463949,0.862850536051,0.696516869942,0.0916056234205,0.178690192928,0.0331873137094,0.270295816349,129.030363069,0.338908772833,0.661091227167
2020,0.400596757053,0.368386779223,0.228334326817,0.00268213690715,0.59672110604,174.660093493,0.617351683213,0.382648316787,0.62120133398,0.174027581082,0.176417933266,0.0283531516718,0.350445514348,167.291201776,0.496589552318,0.503410447682
2021,0.43537366778,0.296930147286,0.264241391201,0.00345479373335,0.561171538486,164.254745451,0.529125457942,0.470874542058,0.653101232767,0.112200247357,0.205241259082,0.0294572607944,0.317441506439,151.536170194,0.353451722856,0.646548277144
2022,0.562180229507,0.0998142369675,0.336421568971,0.00158396455422,0.436235805939,127.686093016,0.22880798781,0.77119201219,0.684253850827,0.0869082735178,0.201838276964,0.0269995986915,0.288746550482,137.838138772,0.300984629506,0.699015370494
2023,0.546632493626,0.122047607594,0.325976167723,0.00534373105585,0.448023775318,131.136428211,0.272413238578,0.727586761422,0.671699460915,0.0960147499429,0.206864260351,0.0254215287906,0.302879010294,144.584511858,0.317006945611,0.682993054389
