dpi,nbi_maand,bijdrage_werkboek,bijdrage_werknemer,zone,bijdrage_huidig,ratio_huidig,bijdrage_geen_degressieve_schijf,ratio_geen_degressieve_schijf,bijdrage_geen_plafond,ratio_geen_plafond,bijdrage_vlak_20_5,ratio_vlak_20_5,ratio_werknemer,gewicht_gelijk,gewicht_silc_A,gewicht_adi2023
6250.0,11627.769079755417,1753.0642535778668,1766.05,boven plafond,1752.8972033745,0.28046355253992,1946.3823025874997,0.31142116841399997,2105.179343211514,0.33682869491384226,2456.3952875210307,0.3930232460033649,0.282568,0.029411764705882353,0.0018854650352289955,0.003337520142335006
6500.0,12177.769079755417,1753.0642535778668,1849.76,boven plafond,1752.8972033745,0.26967649282684614,1946.3823025874997,0.29944343116730765,2185.4346832115143,0.33622072049407914,2572.5841625210305,0.3957821788493893,0.28457846153846156,0.029411764705882353,0.0,0.0027958671506584046
6750.0,12727.769079755417,1753.0642535778668,1927.49,boven plafond,1752.8972033745,0.25968847457399996,1946.3823025874997,0.2883529337166666,2265.6900232115145,0.3356577812165207,2688.7730375210303,0.3983367462994119,0.28555407407407407,0.029411764705882353,0.0,0.002441756880473504
7000.0,13277.769079755417,1753.0642535778668,2011.2,boven plafond,1752.8972033745,0.2504138861963571,1946.3823025874997,0.2780546146553571,2345.9453632115146,0.33513505188735926,2804.9619125210306,0.40070884464586154,0.28731428571428574,0.029411764705882353,0.0011194323542732126,0.004480808650812908
7500.0,14377.769079755417,1753.0642535778668,2172.63,boven plafond,1752.8972033745,0.2337196271166,1946.3823025874997,0.25951764034499997,2506.4560432115145,0.3341941390948686,3037.3396625210307,0.40497862166947074,0.289684,0.029411764705882353,0.0017528215619086488,0.004950888848209208
8000.0,15477.769079755417,1753.0642535778668,2334.07,boven plafond,1752.8972033745,0.21911215042181248,1946.3823025874997,0.24329778782343747,2666.966723211515,0.33337084040143933,3269.717412521031,0.40871467656512883,0.29175875,0.029411764705882353,0.005047897238573345,0.003650620912663306
8500.0,16577.769079755417,1753.0642535778668,2495.51,boven plafond,1752.8972033745,0.20622320039699998,1946.3823025874997,0.2289861532455882,2827.4774032115142,0.3326444003778252,3502.095162521031,0.41201119559070953,0.29358941176470593,0.029411764705882353,0.003324197409397669,0.0027422280354000047
9000.0,17677.769079755417,1753.0642535778668,2656.95,boven plafond,1752.8972033745,0.19476635593049998,1946.3823025874997,0.21626470028749997,2987.9880832115145,0.3319986759123905,3734.472912521031,0.414941434724559,0.2952166666666666,0.029411764705882353,0.0015442100524655732,0.0020939578002865033
9500.0,18777.769079755417,1753.0642535778668,2824.36,boven plafond,1752.8972033745,0.18451549509205262,1946.3823025874997,0.20488234764078944,3148.498763211515,0.33142092244331733,3966.850662521031,0.4175632276337928,0.29730105263157897,0.029411764705882353,0.0,0.0016225020873191025
10000.0,19877.769079755417,1753.0642535778668,2985.8,boven plafond,1752.8972033745,0.17528972033745,1946.3823025874997,0.19463823025874996,3309.0094432115147,0.33090094432115147,4199.228412521031,0.4199228412521031,0.29858,0.029411764705882353,0.0,0.001808129650631003
11000.0,22077.769079755413,1753.0642535778668,3308.68,boven plafond,1752.8972033745,0.1593542912158636,1946.3823025874997,0.1769438456897727,3630.030803211514,0.33000280029195583,4663.98391252103,0.42399853750191185,0.3007890909090909,0.029411764705882353,0.0,0.0016365280111878028
12000.0,24259.43574642208,1753.0642535778668,3631.55,boven plafond,1752.8972033745,0.146074766947875,1946.3823025874997,0.16219852521562497,3948.3769852115142,0.3290314154342929,5124.866450021031,0.42707220416841923,0.30262916666666667,0.029411764705882353,0.0,0.0010845342643647016
13000.0,26459.43574642208,1753.0642535778668,3954.43,boven plafond,1752.8972033745,0.13483824641342307,1946.3823025874997,0.14972171558365382,4269.398345211514,0.32841525732396265,5589.621950021031,0.429970919232387,0.3041869230769231,0.029411764705882353,0.0019031437621345238,0.0007429588200098012
14000.0,28659.43574642208,1753.0642535778668,4277.3,boven plafond,1752.8972033745,0.12520694309817856,1946.3823025874997,0.13902730732767854,4590.419705211514,0.3278871218008224,6054.37745002103,0.4324555321443593,0.3055214285714286,0.029411764705882353,0.0,0.0005235195863376008
15000.0,30859.43574642208,1753.0642535778668,4600.18,boven plafond,1752.8972033745,0.1168598135583,1946.3823025874997,0.12975882017249998,4911.441065211515,0.32742940434743434,6519.13295002103,0.43460886333473536,0.3066786666666667,0.029411764705882353,0.0,0.0017237639101130029
