variant,groep,type,gini,kakwani,ratio,n_obs,posities_met_obs,posities_n_onder_10
A,zs_koppel2,ZE,0.19302840994913736,0.041151341128909114,0.2909194530117798,140.0,17.0,11.0
A,zs_koppel2,ZV100VAA,0.19302840994913736,0.01727141253982828,0.3110614201004742,140.0,17.0,11.0
A,zs_koppel2,ZV100,0.19302840994913736,0.016882335391914777,0.3112378406493713,140.0,17.0,11.0
A,zs_koppel2,ZV75,0.19302840994913736,0.027139651582847313,0.21858257122500446,140.0,17.0,11.0
A,zs_koppel2,ZV50,0.19302840994913736,-0.043902109689785807,0.1524831065020053,140.0,17.0,11.0
A,zs_koppel2,ZV00,0.19302840994913736,-0.19302840994913736,0.13336525057803614,140.0,17.0,11.0
A,zs_typ,ZE,0.21358811465726238,0.057027158492450075,0.28391031833043995,368.0,25.0,14.0
A,zs_typ,ZV100VAA,0.21358811465726238,0.028653619376056427,0.30689325931658346,368.0,25.0,14.0
A,zs_typ,ZV100,0.21358811465726238,0.028850310084515385,0.30681534899948,368.0,25.0,14.0
A,zs_typ,ZV75,0.21358811465726238,0.03432139163619752,0.21881528885282198,368.0,25.0,14.0
A,zs_typ,ZV50,0.21358811465726238,-0.059608663239823,0.16018548787826514,368.0,25.0,14.0
A,zs_typ,ZV00,0.21358811465726238,-0.21358811465726238,0.14155021852384145,368.0,25.0,14.0
B,wn_alleen,WN,0.20320584625136281,0.21755409937255235,0.17572218358149305,708.0,28.0,14.0
B,wn_koppel,WN,0.26556163990260034,0.16301565082467423,0.19421080131488594,2012.0,34.0,6.0
B,wn_koppel2,WN,0.2508462379596136,0.14803520459204156,0.20249183578025085,978.0,33.0,11.0
B,wn_typ,WN,0.25868977337612387,0.1789959665963109,0.18927983099612974,2720.0,34.0,5.0
B,zs_alleen,ZE,0.2327053988508412,0.07512708596592713,0.27658071633129927,93.0,19.0,18.0
B,zs_alleen,ZV100VAA,0.2327053988508412,0.041344096927324187,0.3027958486282953,93.0,19.0,18.0
B,zs_alleen,ZV100,0.2327053988508412,0.04210382700323792,0.3023950287372815,93.0,19.0,18.0
B,zs_alleen,ZV75,0.2327053988508412,0.0395529828949622,0.22015958683399764,93.0,19.0,18.0
B,zs_alleen,ZV50,0.2327053988508412,-0.0784518484051629,0.1708600635769223,93.0,19.0,18.0
B,zs_alleen,ZV00,0.2327053988508412,-0.2327053988508412,0.15146699198890348,93.0,19.0,18.0
B,zs_koppel,ZE,0.31324407499547563,0.02001685479075449,0.27594894047800417,275.0,29.0,19.0
B,zs_koppel,ZV100VAA,0.31324407499547563,-0.010692389566464733,0.29986849117899883,275.0,29.0,19.0
B,zs_koppel,ZV100,0.31324407499547563,-0.010006587961985058,0.2994518012224089,275.0,29.0,19.0
B,zs_koppel,ZV75,0.31324407499547563,0.012622954946988674,0.22247613688253431,275.0,29.0,19.0
B,zs_koppel,ZV50,0.31324407499547563,-0.06431124207411337,0.1703636534596457,275.0,29.0,19.0
B,zs_koppel,ZV00,0.31324407499547563,-0.31324407499547563,0.14134165644554714,275.0,29.0,19.0
B,zs_koppel2,ZE,0.291538225465496,0.020198684317169147,0.2846273070300242,140.0,22.0,19.0
B,zs_koppel2,ZV100VAA,0.291538225465496,-0.0071475828268746655,0.30601573892301526,140.0,22.0,19.0
B,zs_koppel2,ZV100,0.291538225465496,-0.006483043697347424,0.30551386009047443,140.0,22.0,19.0
B,zs_koppel2,ZV75,0.291538225465496,0.01631578637216957,0.22477829043788777,140.0,22.0,19.0
B,zs_koppel2,ZV50,0.291538225465496,-0.053384970400683435,0.16457834630645435,140.0,22.0,19.0
B,zs_koppel2,ZV00,0.291538225465496,-0.291538225465496,0.13360857941319002,140.0,22.0,19.0
B,zs_typ,ZE,0.29763142234037165,0.03235840247287064,0.2761110149760054,368.0,29.0,17.0
B,zs_typ,ZV100VAA,0.29763142234037165,0.0006463414793835831,0.3006194695308784,368.0,29.0,17.0
B,zs_typ,ZV100,0.29763142234037165,0.0013495922322880327,0.3002068508487731,368.0,29.0,17.0
B,zs_typ,ZV75,0.29763142234037165,0.019109143755983604,0.22188185382430545,368.0,29.0,17.0
