indicator,gezin,risico,type,maand,gemiddelde,vc,minimum,maximum
garantiegraad,alleen,werkloosheid,WN,1-3,1.204283644,0.07506501945,0.918613241,1.235097486
garantiegraad,alleen,werkloosheid,WN,4-6,1.152780647,0.06457005091,0.918613241,1.178367078
garantiegraad,alleen,werkloosheid,WN,7-12,1.111930222,0.05450199442,0.918613241,1.132069929
garantiegraad,-,pensioen,ZV100,-,1.548507454,0.1284654612,1.093861763,1.659179605
garantiegraad,-,pensioen,ZV75,-,1.481182357,0.1581206595,1.093861763,1.659179605
garantiegraad,-,pensioen,ZV50,-,1.349128381,0.1803810168,1.093861763,1.659179605
garantiegraad,-,pensioen,ZV00,-,1.093861763,2.029914679e-16,1.093861763,1.093861763
garantiegraad,-,pensioen,ZE,-,1.547528828,0.1306483346,1.093861763,1.659179605
garantiegraad,-,pensioen,WN,-,1.607930938,0.1358223716,1.093861763,1.723174622
garantiegraad,koppel_laag,ziekte,ZV100VAA,-,1.463484151,1.517232727e-16,1.463484151,1.463484151
garantiegraad,koppel_laag,ziekte,ZV100,-,1.463484151,1.517232727e-16,1.463484151,1.463484151
garantiegraad,koppel_laag,ziekte,ZV75,-,1.463685331,0.0007895757709,1.463484151,1.470324267
garantiegraad,koppel_laag,ziekte,ZV50,-,1.464288871,0.001505041325,1.463484151,1.470324267
garantiegraad,koppel_laag,ziekte,ZV00,-,1.521457415,0,1.521457415,1.521457415
garantiegraad,koppel_laag,ziekte,ZE,-,1.463484151,1.517232727e-16,1.463484151,1.463484151
garantiegraad,koppel_laag,ziekte,WN,2,1.784026512,0.0708339406,1.330960293,1.831020839
garantiegraad,koppel_laag,ziekte,WN,3-6,1.79992368,0.04330718231,1.530088727,1.831006266
garantiegraad,koppel_laag,ziekte,WN,7-12,1.79482632,0.05145772465,1.51633277,1.831006266
garantiegraad,koppel_laag,werkloosheid,ZV100VAA,-,1.600479158,1.387363302e-16,1.600479158,1.600479158
garantiegraad,koppel_laag,werkloosheid,ZV100,-,1.600479158,1.387363302e-16,1.600479158,1.600479158
garantiegraad,koppel_laag,werkloosheid,ZV75,-,1.600680338,0.0007219995436,1.600479158,1.607319275
garantiegraad,koppel_laag,werkloosheid,ZV50,-,1.601283878,0.001376280179,1.600479158,1.607319275
garantiegraad,koppel_laag,werkloosheid,ZV00,-,1.658452422,0,1.658452422,1.658452422
garantiegraad,koppel_laag,werkloosheid,ZE,-,1.600479158,1.387363302e-16,1.600479158,1.600479158
garantiegraad,koppel_laag,werkloosheid,WN,1-3,1.685942511,0.03272129783,1.508863015,1.704626267
garantiegraad,koppel_laag,werkloosheid,WN,4-6,1.6546639,0.03281680779,1.480028686,1.672975399
garantiegraad,koppel_laag,werkloosheid,WN,7-12,1.631872748,0.02863227354,1.480028686,1.647145426
garantiegraad,koppel_gem,ziekte,ZV100VAA,-,1.703403781,0,1.703403781,1.703403781
garantiegraad,koppel_gem,ziekte,ZV100,-,1.703403781,0,1.703403781,1.703403781
garantiegraad,koppel_gem,ziekte,ZV75,-,1.703403781,0,1.703403781,1.703403781
garantiegraad,koppel_gem,ziekte,ZV50,-,1.703403781,0,1.703403781,1.703403781
garantiegraad,koppel_gem,ziekte,ZV00,-,1.710243897,0,1.710243897,1.710243897
garantiegraad,koppel_gem,ziekte,ZE,-,1.703403781,0,1.703403781,1.703403781
garantiegraad,koppel_gem,ziekte,WN,2,2.02374498,0.06280141628,1.564040411,2.070940468
garantiegraad,koppel_gem,ziekte,WN,3-6,2.039642148,0.03856136446,1.763168845,2.070925896
garantiegraad,koppel_gem,ziekte,WN,7-12,2.034544788,0.04568818662,1.756252399,2.070925896
garantiegraad,koppel_gem,werkloosheid,ZV100VAA,-,1.840398788,0,1.840398788,1.840398788
garantiegraad,koppel_gem,werkloosheid,ZV100,-,1.840398788,0,1.840398788,1.840398788
garantiegraad,koppel_gem,werkloosheid,ZV75,-,1.840398788,0,1.840398788,1.840398788
garantiegraad,koppel_gem,werkloosheid,ZV50,-,1.840398788,0,1.840398788,1.840398788
garantiegraad,koppel_gem,werkloosheid,ZV00,-,1.847238904,1.202035126e-16,1.847238904,1.847238904
garantiegraad,koppel_gem,werkloosheid,ZE,-,1.840398788,0,1.840398788,1.840398788
garantiegraad,koppel_gem,werkloosheid,WN,1-3,1.925660979,0.02897473495,1.748782644,1.944545896
garantiegraad,koppel_gem,werkloosheid,WN,4-6,1.894382368,0.02899680701,1.719948316,1.912895029
garantiegraad,koppel_gem,werkloosheid,WN,7-12,1.871591215,0.02530387005,1.719948316,1.887065056
