jaar,stelsel,definitie,deflator,reeks,waarde
2004,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.65622719387
2005,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.73647285022
2006,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.81853900963
2007,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.80472485659
2008,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.11836584963
2009,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.33126284507
2010,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.29609961195
2011,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.12119726633
2012,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.08160369434
2013,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.19125621626
2014,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.13169168679
2015,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.3253411234
2016,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.24520957964
2017,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,5.10140247192
2018,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.99231270426
2019,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.87532570386
2020,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.35762112579
2021,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.49564564407
2022,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.16157183609
2023,zelfstandigen,Z2,cpi,bijdragen_pc_reeel,4.43187552107
2003,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.08685408334
2004,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.39577388021
2005,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.41733293916
2006,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.61870751873
2007,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.61134903671
2008,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,8.20852109721
2009,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,8.66527817688
2010,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,8.7749637568
2011,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,8.77998090115
2012,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,8.47183283921
2013,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,8.60865940557
2014,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,8.82146043083
2015,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.70082149844
2016,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.48550811528
2017,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.7606067067
2018,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.71947176078
2019,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,7.67883908963
2020,zelfstandigen,Z2,cpi,uitgaven_pc_reeel,11.0859586413
