type,positie,bruto_60pct,minimum,maximum,bruto,personenbelasting,netto,inhouding,inhouding_pct,bindend
ZV100,5500,5846.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,5750,6176.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,6000,6506.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,6250,6836.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,6500,7166.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,6750,7496.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,7000,7826.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,7500,8486.6640000000007,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,8000,9086.6640000000007,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,8500,9806.6640000000007,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,9000,10466.663999999999,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,9500,11126.663999999999,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,10000,11786.663999999999,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,11000,13106.663999999999,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,12000,14426.664000000001,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,13000,15746.664000000001,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,14000,17066.664000000001,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV100,15000,18386.664000000001,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,1550,727.90200000000004,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV75,1800,892.81799999999998,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV75,2000,1061.7239999999999,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV75,2250,1230.636,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
