variant;groep;type;gini;kakwani;ratio
B;zs_typ;ZE;.2976314223403716;.0323584024728706;.2761110149760054
B;zs_typ;ZV100VAA;.2976314223403716;.0006463414793836;.3006194695308784
B;zs_typ;ZV100;.2976314223403716;.001349592232288;.3002068508487731
B;zs_typ;ZV75;.2976314223403716;.0191091437559836;.2218818538243054
B;zs_typ;ZV50;.2976314223403716;-.0674187349906767;.1704910015058566
B;zs_typ;ZV00;.2976314223403716;-.2976314223403716;.1439391895211222
B;zs_alleen;ZE;.2327053988508412;.0751270859659271;.2765807163312992
B;zs_alleen;ZV100VAA;.2327053988508412;.0413440969273242;.3027958486282952
B;zs_alleen;ZV100;.2327053988508412;.0421038270032379;.3023950287372815
B;zs_alleen;ZV75;.2327053988508412;.0395529828949621;.2201595868339976
B;zs_alleen;ZV50;.2327053988508412;-.0784518484051629;.1708600635769223
B;zs_alleen;ZV00;.2327053988508412;-.2327053988508412;.1514669919889035
B;zs_koppel;ZE;.3132440749954756;.0200168547907544;.2759489404780042
B;zs_koppel;ZV100VAA;.3132440749954756;-.0106923895664647;.2998684911789988
B;zs_koppel;ZV100;.3132440749954756;-.010006587961985;.2994518012224089
B;zs_koppel;ZV75;.3132440749954756;.0126229549469887;.2224761368825343
B;zs_koppel;ZV50;.3132440749954756;-.0643112420741134;.1703636534596457
B;zs_koppel;ZV00;.3132440749954756;-.3132440749954756;.1413416564455471
B;zs_koppel2;ZE;.2915382254654961;.020198684317169;.2846273070300243
B;zs_koppel2;ZV100VAA;.2915382254654961;-.0071475828268747;.3060157389230153
B;zs_koppel2;ZV100;.2915382254654961;-.0064830436973475;.3055138600904745
B;zs_koppel2;ZV75;.2915382254654961;.0163157863721695;.2247782904378878
B;zs_koppel2;ZV50;.2915382254654961;-.0533849704006835;.1645783463064544
B;zs_koppel2;ZV00;.2915382254654961;-.2915382254654961;.13360857941319
B;wn_typ;WN;.2586897733761238;.178995966596311;.1892798309961297
B;wn_alleen;WN;.2032058462513628;.2175540993725524;.175722183581493
B;wn_koppel;WN;.2655616399026003;.1630156508246743;.194210801314886
B;wn_koppel2;WN;.2508462379596135;.1480352045920414;.2024918357802508
C;zs_typ;ZE;.2883839638825299;.0471519658327789;.266466297371495
C;zs_typ;ZV100VAA;.2883839638825299;.0097120133002955;.2950849218700162
C;zs_typ;ZV100;.2883839638825299;.0107733280281093;.2944804526407922
C;zs_typ;ZV75;.2883839638825299;.0163190186594393;.2193442797599826
C;zs_typ;ZV50;.2883839638825299;-.0891161832058271;.1778452296161526
C;zs_typ;ZV00;.2883839638825299;-.2883839638825299;.1577383257949589
C;zs_alleen;ZE;.2327053988508412;.075127085965927;.2765807163312992
C;zs_alleen;ZV100VAA;.2327053988508412;.0413440969273242;.3027958486282952
C;zs_alleen;ZV100;.2327053988508412;.0421038270032379;.3023950287372814
C;zs_alleen;ZV75;.2327053988508412;.0395529828949622;.2201595868339976
C;zs_alleen;ZV50;.2327053988508412;-.0784518484051629;.1708600635769223
C;zs_alleen;ZV00;.2327053988508412;-.2327053988508412;.1514669919889035
C;zs_koppel;ZE;.304646174276161;.0382436255943749;.2629762299978145
C;zs_koppel;ZV100VAA;.304646174276161;-.0002440704914923;.2924242001808258
C;zs_koppel;ZV100;.304646174276161;.0009020308787683;.291749459993499
C;zs_koppel;ZV75;.304646174276161;.0091904712475956;.2190629510321675
C;zs_koppel;ZV50;.304646174276161;-.091994383793734;.1802555213185373
C;zs_koppel;ZV00;.304646174276161;-.304646174276161;.1599023035373242
C;zs_koppel2;ZE;.2906824824556964;.0388174079041949;.2697739556436852
C;zs_koppel2;ZV100VAA;.2906824824556964;.0029513298781218;.2968722228904788
C;zs_koppel2;ZV100;.2906824824556964;.0038563141374728;.2964303020388036
C;zs_koppel2;ZV75;.2906824824556964;.0114420187040624;.2194301704361517
C;zs_koppel2;ZV50;.2906824824556964;-.0870650807350512;.1739611393743959
C;zs_koppel2;ZV00;.2906824824556964;-.2906824824556964;.1530591809185784
C;wn_typ;WN;.2633960721789139;.2413831746735328;.1641921840672316
C;wn_alleen;WN;.2032058462513628;.2175540993725524;.175722183581493
C;wn_koppel;WN;.2809598868781425;.2471986901965545;.1599986773590753
C;wn_koppel2;WN;.2715223302981696;.2413538626784179;.1636414948892598
