scenario,groep,positie,gewicht
onder_rooster_weg,zelfstandigen,3750,0.041455333448487036
onder_rooster_weg,zelfstandigen,4000,0.031914493888254548
onder_rooster_weg,zelfstandigen,4250,0.023907479233076331
onder_rooster_weg,zelfstandigen,4500,0.018419919197991842
onder_rooster_weg,zelfstandigen,4750,0.014403092549929225
onder_rooster_weg,zelfstandigen,5000,0.010962501766562506
onder_rooster_weg,zelfstandigen,5250,0.0086575583077789318
onder_rooster_weg,zelfstandigen,5500,0.0068503368245842692
onder_rooster_weg,zelfstandigen,5750,0.0056726284879795221
onder_rooster_weg,zelfstandigen,6000,0.0045173526911196299
onder_rooster_weg,zelfstandigen,6250,0.0037925012506140909
onder_rooster_weg,zelfstandigen,6500,0.0031770084413647059
onder_rooster_weg,zelfstandigen,6750,0.0027746247596914181
onder_rooster_weg,zelfstandigen,7000,0.0050916463982989511
onder_rooster_weg,zelfstandigen,7500,0.0056258093877295653
onder_rooster_weg,zelfstandigen,8000,0.0041482848900822444
onder_rooster_weg,zelfstandigen,8500,0.0031160570753731793
onder_rooster_weg,zelfstandigen,9000,0.00237941262903171
onder_rooster_weg,zelfstandigen,9500,0.0018436866094766816
onder_rooster_weg,zelfstandigen,10000,0.0020546194985637438
onder_rooster_weg,zelfstandigen,11000,0.0018596245908354095
onder_rooster_weg,zelfstandigen,12000,0.0012323813425915212
onder_rooster_weg,zelfstandigen,13000,0.00084424127312406961
onder_rooster_weg,zelfstandigen,14000,0.00059488740179325394
onder_rooster_weg,zelfstandigen,15000,0.0019587527583559521
inkomens_plus3,werknemers,1550,0.089498374242042142
inkomens_plus3,werknemers,1800,0.051596434800426742
inkomens_plus3,werknemers,2000,0.063570414361603239
inkomens_plus3,werknemers,2250,0.085996294695634981
inkomens_plus3,werknemers,2500,0.099622848392423927
inkomens_plus3,werknemers,2750,0.10372284935694426
inkomens_plus3,werknemers,3000,0.10128628932814705
inkomens_plus3,werknemers,3250,0.09072273228080005
inkomens_plus3,werknemers,3500,0.075401533772872384
inkomens_plus3,werknemers,3750,0.058760517741365557
inkomens_plus3,werknemers,4000,0.044460004019285689
inkomens_plus3,werknemers,4250,0.033021953700279771
inkomens_plus3,werknemers,4500,0.024078748271425917
inkomens_plus3,werknemers,4750,0.017552645268503031
inkomens_plus3,werknemers,5000,0.012784547750434175
inkomens_plus3,werknemers,5250,0.0093964246372045725
inkomens_plus3,werknemers,5500,0.0070311530979629295
inkomens_plus3,werknemers,5750,0.005200629795045617
inkomens_plus3,werknemers,6000,0.0041185742626817174
inkomens_plus3,werknemers,6250,0.0031466074176715706
inkomens_plus3,werknemers,6500,0.0025045548457472027
inkomens_plus3,werknemers,6750,0.002006398461592018
inkomens_plus3,werknemers,7000,0.0026098779049558095
inkomens_plus3,werknemers,7500,0.0034472420342385388
inkomens_plus3,werknemers,8000,0.0023195454246049993
inkomens_plus3,werknemers,8500,0.0015988804619800009
inkomens_plus3,werknemers,9000,0.0011259127661931133
inkomens_plus3,werknemers,9500,0.0008080906103505311
inkomens_plus3,werknemers,10000,0.00082459462455152378
inkomens_plus3,werknemers,11000,0.00066516263877263338
inkomens_plus3,werknemers,12000,0.00038946968766039074
inkomens_plus3,werknemers,13000,0.0002381136275349654
inkomens_plus3,werknemers,14000,0.00015102406875869683
inkomens_plus3,werknemers,15000,0.00034155565030428986
inkomens_plus3,zelfstandigen,1550,0.17728582006684604
inkomens_plus3,zelfstandigen,1800,0.073058299744107699
inkomens_plus3,zelfstandigen,2000,0.079967439009025032
inkomens_plus3,zelfstandigen,2250,0.094515739800813264
inkomens_plus3,zelfstandigen,2500,0.095451189383337839
inkomens_plus3,zelfstandigen,2750,0.088030122935595589
inkomens_plus3,zelfstandigen,3000,0.07740588047055208
inkomens_plus3,zelfstandigen,3250,0.063153028943127049
inkomens_plus3,zelfstandigen,3500,0.050271619503513477
inkomens_plus3,zelfstandigen,3750,0.039426532786207565
inkomens_plus3,zelfstandigen,4000,0.030981330467069787
inkomens_plus3,zelfstandigen,4250,0.023590918198191691
inkomens_plus3,zelfstandigen,4500,0.017914139214246314
inkomens_plus3,zelfstandigen,4750,0.014297712762222303
inkomens_plus3,zelfstandigen,5000,0.010897350954267346
inkomens_plus3,zelfstandigen,5250,0.0085689869839649328
inkomens_plus3,zelfstandigen,5500,0.0068717828535113821
inkomens_plus3,zelfstandigen,5750,0.0053114444208352306
inkomens_plus3,zelfstandigen,6000,0.0046480491783589982
inkomens_plus3,zelfstandigen,6250,0.0036007879094264493
inkomens_plus3,zelfstandigen,6500,0.0031361297339473626
inkomens_plus3,zelfstandigen,6750,0.0026277183782020359
inkomens_plus3,zelfstandigen,7000,0.0037902834259715356
inkomens_plus3,zelfstandigen,7500,0.0055249340232653857
inkomens_plus3,zelfstandigen,8000,0.0040739027485363621
inkomens_plus3,zelfstandigen,8500,0.003060183622949604
inkomens_plus3,zelfstandigen,9000,0.0023367478141363284
inkomens_plus3,zelfstandigen,9500,0.0018106278003577187
inkomens_plus3,zelfstandigen,10000,0.0020177784901917249
inkomens_plus3,zelfstandigen,11000,0.0018262800006727694
inkomens_plus3,zelfstandigen,12000,0.0012102837369805247
inkomens_plus3,zelfstandigen,13000,0.00082910333647307334
inkomens_plus3,zelfstandigen,14000,0.00058422058403688319
inkomens_plus3,zelfstandigen,15000,0.001923630719058802
