variant,groep,pos,w
B,wn_koppel2,10000,3957.8993049660762
B,wn_koppel2,11000,1606.889600687166
B,wn_koppel2,12000,4475.8895790049473
B,wn_koppel2,13000,550.90548402809429
B,wn_koppel2,14000,1153.718577534647
B,wn_koppel2,15000,1689.8036054090121
B,wn_typ,1550,315008.37192980893
B,wn_typ,1800,72185.312566238572
B,wn_typ,2000,111802.31715112249
B,wn_typ,2250,106537.2548637008
B,wn_typ,2500,143176.66087456021
B,wn_typ,2750,173305.8469747224
B,wn_typ,3000,162599.81594417759
B,wn_typ,3250,185528.9431378459
B,wn_typ,3500,150957.6326430256
B,wn_typ,3750,135271.18591197161
B,wn_typ,4000,117433.44231348509
B,wn_typ,4250,116132.4622828897
B,wn_typ,4500,68769.58528351126
B,wn_typ,4750,54921.690208908512
B,wn_typ,5000,56309.268788725167
B,wn_typ,5250,66136.951349489813
B,wn_typ,5500,43083.882289092617
B,wn_typ,5750,27317.76457484435
B,wn_typ,6000,37287.899042354336
B,wn_typ,6250,23608.00597522458
B,wn_typ,6500,10887.054475023881
B,wn_typ,6750,9550.449760655596
B,wn_typ,7000,20597.145510725939
B,wn_typ,7500,17800.47270167372
B,wn_typ,8000,14369.20343247526
B,wn_typ,8500,11171.920525109361
B,wn_typ,9000,7127.7766694465217
B,wn_typ,9500,14043.27097626172
B,wn_typ,10000,11709.85557272595
B,wn_typ,11000,4179.5171464951518
B,wn_typ,12000,5547.0370802204661
B,wn_typ,13000,1495.0963792646619
B,wn_typ,14000,2117.37046619802
B,wn_typ,15000,3405.9919049156611
B,zs_alleen,1550,27028.5171095572
B,zs_alleen,1800,6544.7030524369839
B,zs_alleen,2000,3778.0453236517869
B,zs_alleen,2250,5866.0631485547083
B,zs_alleen,2500,2205.2041756823819
B,zs_alleen,2750,4115.4269160752947
B,zs_alleen,3000,5466.1994052447881
B,zs_alleen,3250,8065.2536290810431
B,zs_alleen,3500,1652.9010384516339
B,zs_alleen,3750,3902.9140754929399
B,zs_alleen,4000,3232.3861063478521
B,zs_alleen,4250,1093.060679228272
B,zs_alleen,4750,383.28707935776299
B,zs_alleen,5000,1447.050523962291
B,zs_alleen,5250,837.02106678838197
B,zs_alleen,5500,386.03005569365428
B,zs_alleen,6250,569.15902124018112
B,zs_alleen,7000,337.91929905788538
B,zs_alleen,7500,529.11837978657945
B,zs_koppel,1550,74751.863479734777
B,zs_koppel,1800,8132.6573727059849
B,zs_koppel,2000,17568.029494838531
B,zs_koppel,2250,13379.474151807621
B,zs_koppel,2500,8834.0903857321427
B,zs_koppel,2750,11992.64868935362
B,zs_koppel,3000,10777.14085359202
B,zs_koppel,3250,6998.6495256961698
B,zs_koppel,3500,9180.6601252175496
B,zs_koppel,3750,9990.2780294792392
B,zs_koppel,4000,4187.715124513782
B,zs_koppel,4250,7343.9328308481581
B,zs_koppel,4500,5150.1985666187175
B,zs_koppel,4750,2813.2519734999601
B,zs_koppel,5000,10910.7785853555
B,zs_koppel,5250,5198.2385290049679
B,zs_koppel,5500,2154.6058622510391
B,zs_koppel,5750,761.85907933490546
B,zs_koppel,6000,2200.2773045460349
B,zs_koppel,6250,1164.9800467145481
B,zs_koppel,6500,878.80223915356532
B,zs_koppel,6750,906.6619589678894
B,zs_koppel,7000,1638.359340817459
B,zs_koppel,7500,244.21245210943081
B,zs_koppel,8000,2104.646968948085
B,zs_koppel,8500,470.72570584952058
B,zs_koppel,9500,1123.7577846014501
B,zs_koppel,14000,1523.791848666383
B,zs_koppel,15000,2044.1055097371391
B,zs_koppel2,1550,26275.8662393991
B,zs_koppel2,1800,3339.0216987973272
B,zs_koppel2,2000,10616.83983001239
B,zs_koppel2,2250,1212.6150559655191
B,zs_koppel2,2500,5055.4929700705197
B,zs_koppel2,2750,9765.7228459372636
B,zs_koppel2,3000,5906.4186110003438
B,zs_koppel2,3250,3836.1390164324048
B,zs_koppel2,3500,5163.109484062129
B,zs_koppel2,3750,6003.0959857164353
B,zs_koppel2,4000,1690.1510346043831
B,zs_koppel2,4250,4282.7846946742311
B,zs_koppel2,4750,2280.6438747182319
B,zs_koppel2,5000,7115.5720594484574
B,zs_koppel2,5250,3220.2669843531012
B,zs_koppel2,5500,643.60023603071841
B,zs_koppel2,6500,150.70340651880801
B,zs_koppel2,6750,906.6619589678894
B,zs_koppel2,7000,1638.359340817459
B,zs_koppel2,8500,470.72570584952058
B,zs_koppel2,14000,560.13996000300972
B,zs_koppel2,15000,1040.6411608413059
B,zs_typ,1550,101780.38058929209
B,zs_typ,1800,14677.36042514297
B,zs_typ,2000,21346.07481849032
B,zs_typ,2250,19245.537300362332
B,zs_typ,2500,11039.294561414519
B,zs_typ,2750,16108.07560542891
B,zs_typ,3000,16243.34025883681
B,zs_typ,3250,15063.90315477721
B,zs_typ,3500,10833.561163669179
B,zs_typ,3750,13893.19210497218
B,zs_typ,4000,7420.1012308616337
B,zs_typ,4250,8436.9935100764287
B,zs_typ,4500,5150.1985666187184
B,zs_typ,4750,3196.5390528577232
B,zs_typ,5000,12357.82910931779
B,zs_typ,5250,6035.259595793349
B,zs_typ,5500,2540.635917944694
B,zs_typ,5750,761.85907933490546
B,zs_typ,6000,2200.2773045460349
B,zs_typ,6250,1734.1390679547289
B,zs_typ,6500,878.80223915356532
B,zs_typ,6750,906.6619589678894
B,zs_typ,7000,1976.278639875344
B,zs_typ,7500,773.33083189601018
B,zs_typ,8000,2104.646968948085
B,zs_typ,8500,470.72570584952058
B,zs_typ,9500,1123.7577846014501
B,zs_typ,14000,1523.791848666383
B,zs_typ,15000,2044.1055097371391
C,wn_alleen,1550,62813.087497804183
C,wn_alleen,1800,21842.35970387523
C,wn_alleen,2000,40999.855238253243
C,wn_alleen,2250,53441.242054872928
C,wn_alleen,2500,76726.837581741245
C,wn_alleen,2750,90564.116835186083
C,wn_alleen,3000,64840.656712250537
C,wn_alleen,3250,48851.176656980591
C,wn_alleen,3500,35387.447134412498
C,wn_alleen,3750,27394.249333342759
C,wn_alleen,4000,16934.08392292861
C,wn_alleen,4250,14663.88113517815
C,wn_alleen,4500,13767.88874080194
C,wn_alleen,4750,10382.981272851879
C,wn_alleen,5000,5295.2598874569148
C,wn_alleen,5250,6360.6455770605226
C,wn_alleen,5500,4570.1936657345932
C,wn_alleen,5750,3010.265329427923
C,wn_alleen,6000,1049.3077917845951
C,wn_alleen,6250,2771.9868756011938
C,wn_alleen,6750,1428.931333189066
C,wn_alleen,7000,598.02550667587172
C,wn_alleen,7500,3129.6561688986758
C,wn_alleen,8500,2192.0938950552909
C,wn_alleen,9000,2263.3367906412382
C,wn_alleen,10000,487.81046308835249
C,wn_alleen,13000,944.19089523656737
C,wn_alleen,15000,1072.4997945279431
C,wn_koppel,1550,418755.61601484538
C,wn_koppel,1800,50608.903202144989
C,wn_koppel,2000,80245.957747161912
C,wn_koppel,2250,79354.072828875098
C,wn_koppel,2500,129172.86724559691
C,wn_koppel,2750,134294.1526254882
C,wn_koppel,3000,105712.6307750313
C,wn_koppel,3250,97052.004782548524
C,wn_koppel,3500,96400.866268980782
C,wn_koppel,3750,82368.785349797821
C,wn_koppel,4000,46879.352275442747
C,wn_koppel,4250,44669.242493186313
C,wn_koppel,4500,62204.515149173298
C,wn_koppel,4750,43628.20355118766
C,wn_koppel,5000,33124.157532286583
C,wn_koppel,5250,31881.373119620381
C,wn_koppel,5500,23914.07432974449
C,wn_koppel,5750,11718.89276362684
C,wn_koppel,6000,8222.2652747810462
C,wn_koppel,6250,15021.484316617771
C,wn_koppel,6500,13237.531161546551
C,wn_koppel,6750,6267.3252372058832
C,wn_koppel,7000,9001.8820816835741
C,wn_koppel,7500,11551.93103253512
C,wn_koppel,8000,10086.00138648943
C,wn_koppel,8500,10243.69999804357
C,wn_koppel,9000,6671.3481023322965
C,wn_koppel,9500,5688.9016098991497
C,wn_koppel,10000,7140.36704795065
C,wn_koppel,11000,3814.1228108848632
C,wn_koppel,12000,4208.9982207377971
C,wn_koppel,13000,560.13996000300972
C,wn_koppel,14000,1557.230506195011
C,wn_koppel,15000,2333.4921103877182
C,wn_koppel2,1550,166705.54510396579
C,wn_koppel2,1800,22770.460614694879
C,wn_koppel2,2000,44277.589186513993
C,wn_koppel2,2250,45845.22215214328
C,wn_koppel2,2500,66269.921425956156
C,wn_koppel2,2750,51431.891021598538
C,wn_koppel2,3000,46610.832717994163
C,wn_koppel2,3250,61334.624624049371
C,wn_koppel2,3500,40546.683995457519
C,wn_koppel2,3750,53870.045492315199
C,wn_koppel2,4000,16201.961156417759
C,wn_koppel2,4250,19937.289460406351
C,wn_koppel2,4500,38511.038647000743
C,wn_koppel2,4750,20890.895604584381
C,wn_koppel2,5000,7336.1920690125207
