netto_beschikbaar_maandinkomen,A ziekte | Werknemer (maand 2),A ziekte | Eenmanszaak,A ziekte | Venn. 100% loon,A ziekte | Venn. 75% loon,A ziekte | Venn. 50% loon,A ziekte | Venn. 0% loon,B werkloosheid | Werknemer (maand 1-3),B werkloosheid | Eenmanszaak,B werkloosheid | Venn. 100% loon,B werkloosheid | Venn. 75% loon,B werkloosheid | Venn. 50% loon,B werkloosheid | Venn. 0% loon,C pensioen | Werknemer,C pensioen | Eenmanszaak,C pensioen | Venn. 100% loon,C pensioen | Venn. 75% loon,C pensioen | Venn. 50% loon,C pensioen | Venn. 0% loon
4000,0.460977,0.860565,0.869317,0.610743,0.36286,0.204375,0.545531,0.859169,0.867906,0.609752,0.362272,0.204043,0.391013,0.542903,0.548425,0.468627,0.347224,0.195568
4250,0.498203,0.909867,0.91555,0.663484,0.394505,0.204375,0.589586,0.908391,0.914064,0.662407,0.393865,0.204043,0.42259,0.574007,0.577591,0.484259,0.377505,0.195568
4500,0.535429,0.96207,0.961782,0.710951,0.42615,0.204375,0.63364,0.960509,0.960221,0.709797,0.425458,0.204043,0.454166,0.60694,0.606758,0.500114,0.397439,0.195568
4750,0.569996,1.00992,1.00835,0.763692,0.45252,0.204375,0.674547,1.00828,1.00671,0.762452,0.451786,0.204043,0.483487,0.637128,0.636135,0.515158,0.409684,0.195568
5000,0.607222,1.05922,1.05976,0.816433,0.484165,0.204375,0.718602,1.05751,1.05804,0.815108,0.483379,0.204043,0.515063,0.668232,0.668569,0.529117,0.427214,0.195568
5250,0.641789,1.08863,1.10722,0.857759,0.515809,0.204375,0.759509,1.08686,1.10542,0.856367,0.514972,0.204043,0.544383,0.686781,0.698508,0.541133,0.437802,0.195568
5500,0.679011,1.08863,1.10867,0.892433,0.54218,0.204375,0.803558,1.08686,1.10687,0.890985,0.5413,0.204043,0.575956,0.686781,0.699426,0.563008,0.446029,0.195568
5750,0.713578,1.08863,1.10867,0.927108,0.579098,0.204375,0.844466,1.08686,1.10687,0.925603,0.578159,0.204043,0.605277,0.686781,0.699426,0.584883,0.458453,0.195568
6000,0.750804,1.08863,1.10867,0.961782,0.610743,0.204375,0.88852,1.08686,1.10687,0.960221,0.609752,0.204043,0.636853,0.686781,0.699426,0.606758,0.468627,0.195568
6250,0.785371,1.08863,1.10867,0.996483,0.647662,0.204375,0.929427,1.08686,1.10687,0.994866,0.646611,0.204043,0.666174,0.686781,0.699426,0.62865,0.479732,0.195568
6500,0.822597,1.08863,1.10867,1.03603,0.679306,0.204375,0.973482,1.08686,1.10687,1.03435,0.678204,0.204043,0.69775,0.686781,0.699426,0.653599,0.488656,0.195568
6750,0.857164,1.08863,1.10867,1.07162,0.710951,0.204375,1.01439,1.08686,1.10687,1.06988,0.709797,0.204043,0.727071,0.686781,0.699426,0.676054,0.500114,0.195568
7000,0.89439,1.08863,1.10867,1.10722,0.747869,0.204375,1.05844,1.08686,1.10687,1.10542,0.746656,0.204043,0.758647,0.686781,0.699426,0.698508,0.511294,0.195568
7500,0.966179,1.08863,1.10867,1.10867,0.811158,0.204375,1.1434,1.08686,1.10687,1.10687,0.809842,0.204043,0.81954,0.686781,0.699426,0.699426,0.527939,0.195568
8000,1.03797,1.08863,1.10867,1.10867,0.869317,0.204375,1.22836,1.08686,1.10687,1.10687,0.867906,0.204043,0.880437,0.686781,0.699426,0.699426,0.548425,0.195568
8500,1.10977,1.08863,1.10867,1.10867,0.91555,0.204375,1.31332,1.08686,1.10687,1.10687,0.914064,0.204043,0.941334,0.686781,0.699426,0.699426,0.577591,0.195568
9000,1.18156,1.08863,1.10867,1.10867,0.961782,0.204375,1.39829,1.08686,1.10687,1.10687,0.960221,0.204043,1.00223,0.686781,0.699426,0.699426,0.606758,0.195568
9500,1.25601,1.08863,1.10867,1.10867,1.00835,0.204375,1.48639,1.08686,1.10687,1.10687,1.00671,0.204043,1.06538,0.686781,0.699426,0.699426,0.636135,0.195568
10000,1.3278,1.08863,1.10867,1.10867,1.05976,0.204375,1.57135,1.08686,1.10687,1.10687,1.05804,0.204043,1.12628,0.686781,0.699426,0.699426,0.668569,0.195568
11000,1.47139,1.08863,1.10867,1.10867,1.10867,0.204375,1.74127,1.08686,1.10687,1.10687,1.10687,0.204043,1.24807,0.686781,0.699426,0.699426,0.699426,0.195568
12000,1.61497,1.08863,1.10867,1.10867,1.10867,0.204375,1.91119,1.08686,1.10687,1.10687,1.10687,0.204043,1.36986,0.686781,0.699426,0.699426,0.699426,0.195568
13000,1.75855,1.08863,1.10867,1.10867,1.10867,0.204375,2.08112,1.08686,1.10687,1.10687,1.10687,0.204043,1.49165,0.686781,0.699426,0.699426,0.699426,0.195568
14000,1.90214,1.08863,1.10867,1.10867,1.10867,0.204375,2.25103,1.08686,1.10687,1.10687,1.10687,0.204043,1.61344,0.686781,0.699426,0.699426,0.699426,0.195568
15000,2.04572,1.08863,1.10867,1.10867,1.10867,0.204375,2.42096,1.08686,1.10687,1.10687,1.10687,0.204043,1.73524,0.686781,0.699426,0.699426,0.699426,0.195568
