variant,groep,type,gini_python,kakwani_python,ratio_python,n_obs,posities_met_obs,posities_n_onder_10,gini_stata,kakwani_stata,ratio_stata,_merge,verschil_gini,verschil_kakwani,verschil_ratio
C,wn_koppel2,WN,0.2715223302981696,0.2413538626784179,0.1636414948892598,978.0,34.0,17.0,0.2715223302981696,0.2413538626784179,0.1636414948892598,both,0.0,0.0,0.0
C,wn_typ,WN,0.26339607217891386,0.24138317467353282,0.16419218406723157,2720.0,34.0,6.0,0.2633960721789139,0.2413831746735328,0.1641921840672316,both,-5.551115123125783e-17,2.7755575615628914e-17,-2.7755575615628914e-17
C,zs_alleen,ZE,0.2327053988508412,0.07512708596592713,0.2765807163312992,93.0,19.0,18.0,0.2327053988508412,0.075127085965927,0.2765807163312992,both,0.0,1.249000902703301e-16,0.0
C,zs_alleen,ZV00,0.2327053988508412,-0.2327053988508412,0.15146699198890345,93.0,19.0,18.0,0.2327053988508412,-0.2327053988508412,0.1514669919889035,both,0.0,0.0,-5.551115123125783e-17
C,zs_alleen,ZV100,0.2327053988508412,0.04210382700323792,0.30239502873728147,93.0,19.0,18.0,0.2327053988508412,0.0421038270032379,0.3023950287372814,both,0.0,2.0816681711721685e-17,5.551115123125783e-17
C,zs_alleen,ZV100VAA,0.2327053988508412,0.041344096927324187,0.3027958486282952,93.0,19.0,18.0,0.2327053988508412,0.0413440969273242,0.3027958486282952,both,0.0,-1.3877787807814457e-17,0.0
C,zs_alleen,ZV50,0.2327053988508412,-0.07845184840516292,0.1708600635769223,93.0,19.0,18.0,0.2327053988508412,-0.0784518484051629,0.1708600635769223,both,0.0,-2.7755575615628914e-17,0.0
C,zs_alleen,ZV75,0.2327053988508412,0.0395529828949622,0.22015958683399756,93.0,19.0,18.0,0.2327053988508412,0.0395529828949622,0.2201595868339976,both,0.0,0.0,-5.551115123125783e-17
C,zs_koppel,ZE,0.3046461742761609,0.03824362559437505,0.2629762299978145,275.0,25.0,20.0,0.304646174276161,0.0382436255943749,0.2629762299978145,both,-5.551115123125783e-17,1.5265566588595902e-16,0.0
C,zs_koppel,ZV00,0.3046461742761609,-0.3046461742761609,0.15990230353732413,275.0,25.0,20.0,0.304646174276161,-0.304646174276161,0.1599023035373242,both,-5.551115123125783e-17,5.551115123125783e-17,-8.326672684688674e-17
C,zs_koppel,ZV100,0.3046461742761609,0.0009020308787683895,0.29174945999349894,275.0,25.0,20.0,0.304646174276161,0.0009020308787683,0.291749459993499,both,-5.551115123125783e-17,8.944667923005412e-17,-5.551115123125783e-17
C,zs_koppel,ZV100VAA,0.3046461742761609,-0.00024407049149233195,0.2924242001808257,275.0,25.0,20.0,0.304646174276161,-0.0002440704914923,0.2924242001808258,both,-5.551115123125783e-17,-3.1956859034010243e-17,-1.1102230246251565e-16
C,zs_koppel,ZV50,0.3046461742761609,-0.09199438379373395,0.18025552131853728,275.0,25.0,20.0,0.304646174276161,-0.091994383793734,0.1802555213185373,both,-5.551115123125783e-17,4.163336342344337e-17,-2.7755575615628914e-17
C,zs_koppel,ZV75,0.3046461742761609,0.009190471247595644,0.2190629510321675,275.0,25.0,20.0,0.304646174276161,0.0091904712475956,0.2190629510321675,both,-5.551115123125783e-17,4.336808689942018e-17,0.0
